car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
clio,renault,renault clio 1.0 tce intens,2020,41235,16000,gasolina,manual,none
clio,renault,renault clio 1.0 tce rs line,2022,27025,21750,gasolina,manual,none
clio,renault,renault clio sport tourer dci 75 expression,2018,169000,12900,diesel,manual,none
clio,renault,renault clio 1.0 tce rs line,2021,21800,19400,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imjwewc2nnizetbjejetu1revlrmufqifq.wo9tlex1fabqazwau43ydmij9wyixk9f9qhcdonhb8q/image;s=320x240
polo,vw,vw polo 1.4 tdi r-line,2015,134900,12400,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnxddh4b2vlnhj0zdetu1revlrmufqifq.yqath8lqwjo--9nqldhhixxzv-jmtzovev6btksedbg/image;s=320x240
polo,vw,vw polo 1.0 tsi confortline,2021,70930,15900,gasolina,manual,none
clio,renault,renault clio sport tourer 1.5 dci limited,2018,135000,14450,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6injzzgn5zty5a3jnec1tverwvexqvcj9.drj0jxewyg1herhfenlsrmbi7j7pdb7xtgdmtln3two/image;s=320x240
polo,vw,vw polo 1.4 tdi lounge,2015,180554,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inrvbmnkdnjvow1ladmtu1revlrmufqifq.3yfpl3-usx762dp8m41shorkgzhdyl5uibqunb-oul8/image;s=320x240
clio,renault,renault clio 0.9 tce limited,2019,55208,13900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im1kzg1zanv2djhkodmtu1revlrmufqifq.2sbqmrulwan-tjovffdkvctghzab7mllwjp2uuqmtn0/image;s=320x240
clio,renault,renault clio 0.9 tce limited,2018,33245,13480,gasolina,manual,none
clio,renault,renault clio sport tourer,2016,167000,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inu4atj2ehptcmzoytitu1revlrmufqifq.eszk0ugjal0w02rvgw2j71bfuxpici5y7evioqkopig/image;s=320x240
polo,vw,vw polo 1.2 tsi connect,2017,40414,13490,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imrsbnlkewi5ywr1cy1tverwvexqvcj9.5hb7og36xrm-5ethlxg-lznfqhorvts5owlvpasgso8/image;s=320x240
clio,renault,renault clio sport tourer 0.9 tce limited edition,2018,140000,12900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijyxn3jxmtu0nzzvzjmtu1revlrmufqifq.gcg3nu3wekv41hjjvrrwmle5g9ka0mtczwkzxz6bmi0/image;s=320x240
clio,renault,renault clio 1.0 tce exclusive,2019,73000,17950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6impjzjkwcnjpa3n4ajmtu1revlrmufqifq.zqvmid65c6ib6g8iip6jkx64te6iei_yiqmiv6ftrui/image;s=320x240
polo,vw,vw polo 1.0 tsi confortline,2021,38780,17490,gasolina,manual,none
clio,renault,renault clio 1.0 tce evolution bi-fuel,2023,9000,20950,gasolina,manual,none
