car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link,car_age,km_age_ratio
c3,citroen,citroen c3 1.5 bluehdi feel pack,2022,45798,18490,diesel,manual,none,1,45798.0
c3,citroen,citroen c3 aircross 1.2 puretech feel,2018,74522,14900,gasolina,manual,none,5,14904.4
c3,citroen,citroen c3 1.4 hdi attraction,2015,94917,10750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imszyndjcnqxdmh4ejitu1revlrmufqifq.omqcuwsox17oq16ncqsu8vdbxipdifdsas-0bck_jzq/image;s=320x240,8,11864.625
c3,citroen,citroen c3 1.2 puretech shine,2022,1437,18480,gasolina,manual,none,1,1437.0
a1,audi,audi a1 1.6 tdi advance,2011,136374,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6indvd3gzn3rryxn4ny1tverwvexqvcj9.os0lgx6wpfhrgrzgzankugel1oefgsnnhmxt3v9myui/image;s=320x240,12,11364.5
a1,audi,audi a1 1.4 tdi,2010,190400,11990,diesel,manual,none,13,14646.153846153846
c3,citroen,citroen c3 1.2 puretech c-series,2023,10,18990,gasolina,manual,none,0,inf
c3,citroen,citroen c3 1.2 puretech c-series,2022,42400,17900,gasolina,manual,none,1,42400.0
c3,citroen,citroen c3 1.2 puretech attraction,2014,152000,8950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ina1am9jemx0zmj4njmtu1revlrmufqifq.euslapwo5xsyopahykqh-4yzyppz95bt5qcmv5rmukm/image;s=320x240,9,16888.88888888889
c3,citroen,citroen c3 1.5 bluehdi feel,2019,149896,15900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imdya2vzc2kzbdvrdjmtu1revlrmufqifq.wgxlgnhjsbtobvhmobxjbriiicqsnz5utetlhwebx7c/image;s=320x240,4,37474.0
c3,citroen,citroen c3 aircross,2019,102355,17990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imo1etj6emf0bg9tcjitu1revlrmufqifq.w9jk27jpepsibsjk0cpkpx8ps-w0fetpqkghk-br7-o/image;s=320x240,4,25588.75
c3,citroen,citroen c3 aircross 1.2 puretech shine,2019,96000,15750,gasolina,manual,none,4,24000.0
c3,citroen,citroen c3 aircross 1.2 puretech shine,2019,89000,15740,gasolina,manual,none,4,22250.0
a1,audi,audi a1 sportback 1.4 tdi design,2015,105000,16000,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ing3em42dhu1c2psds1tverwvexqvcj9.tm8yf_iffjzvpueszcrjdliqyxqphxgwfwfxip06qqk/image;s=320x240,8,13125.0
a1,audi,audi a1 1.6 tdi sport,2015,93000,17900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtynxnxbtl1zg50as1tverwvexqvcj9.df2ipv8nfu7s7t0p2knblll3svg7zfacuyu1rtmkeg0/image;s=320x240,8,11625.0
